date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:11	74420/74420	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:10%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/the-batch-response/batch-response	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/the-batch-response/batch-response.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:12	73102/73102	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:11%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/the-batch-response/batch-errors	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/the-batch-response/batch-errors.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:13	72831/72831	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:12%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/las-capabilities-for-working-with-ensembles-1	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/las-capabilities-for-working-with-ensembles-1.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:14	73992/73992	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:13%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/las-capabilities-for-working-with-ensembles-1/basic-one-plot-ensemble-interface	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/las-capabilities-for-working-with-ensembles-1/basic-one-plot-ensemble-interface.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:15	73871/73871	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:14%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/las-capabilities-for-working-with-ensembles-1/comparisons-with-two-or-more-plot-panels	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/las-capabilities-for-working-with-ensembles-1/comparisons-with-two-or-more-plot-panels.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:16	72429/72429	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:15%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/google-earth-products	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/google-earth-products.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:17	73869/73869	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:16%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/google-earth-products/static-plot-overlay	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/google-earth-products/static-plot-overlay.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:18	75760/75760	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:17%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/google-earth-products/basic-wms-requests	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/end-user-documentation/google-earth-products/basic-wms-requests.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:19	75904/75904	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:18%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/installer-documentation	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/installer-documentation.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
11:22:20	74974/74974	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2018:22:19%20GMT	https://ferret.pmel.noaa.gov/LAS/documentation/installer-documentation/installation	/Users/osborne/Projects/LAS_docs/ferret.pmel.noaa.gov/LAS/documentation/installer-documentation/installation.html	(from https://ferret.pmel.noaa.gov/LAS/documentation)
